Rank_New,HDI_Cat,Country,HDI,Exp_Life,Exp_School,Mean_School,GNI,GNI_HDI,Rank_Old,Latitude,Longitude
63,VH,Mauritius,0.802,73.5552,15.17352977,10.42791048,22025.34631,-1,62,-20.2759451,57.5703566
63,VH,Serbia,0.802,74.1923,14.40009022,11.36987019,19123.02747,4,62,44.024322850000004,21.07657433209902
66,VH,Thailand,0.8,78.7154,15.88221913,8.697119713,17030.15352,6,64,13.03876215,101.70017611907599
67,H,Albania,0.796,76.4626,14.44799995,11.28645502,14131.11039,17,68,1.2315264,-75.89204331320687
68,H,Bulgaria,0.795,71.798,13.89729023,11.41318035,23078.95595,-8,64,46.7889169,23.6184909
68,H,Grenada,0.795,74.9362,18.66202035,9.032104,13483.5774,18,70,12.1360374,-61.6904045
70,H,Barbados,0.79,77.5714,15.71338458,9.852700596,12306.341,26,71,13.1500331,-59.5250305
71,H,Antigua and Barbuda,0.788,78.4968,14.18462641,9.293740746,16792.36595,2,71,17.2234721,-61.9554608
72,H,Seychelles,0.785,71.2945,13.94161034,10.28312,25830.61775,-17,69,-4.6574977,55.4540146
73,H,Sri Lanka,0.782,76.3991,14.13990486,10.82730007,12578.22055,21,75,7.5554942,80.7137847
74,H,Bosnia and Herzegovina,0.78,75.3003,13.8,10.53631973,15241.91465,4,73,44.3053476,17.5961467
75,H,Saint Kitts and Nevis,0.777,71.6822,15.42769157,8.662745,23358.33212,-16,76,17.250512,-62.6725973
76,H,Iran (Islamic Republic of),0.774,73.8749,14.61524963,10.63645314,13000.7117,15,77,32.6475314,54.5643516
77,H,Ukraine,0.773,71.624,14.95656854,11.13142043,13255.50977,11,78,49.4871968,31.2718321
78,H,North Macedonia,0.77,73.8415,13.62443234,10.22815037,15917.75283,-3,79,41.6171214,21.7168387
79,H,China,0.768,78.2107,14.2361149,7.600118446,17504.39969,-8,82,30.047992,-94.3357433
80,H,Dominican Republic,0.767,72.6146,14.46655802,9.306864107,17989.60037,-11,82,19.0974031,-70.3028026
80,H,Moldova (Republic of),0.767,68.8459,14.43299961,11.82159042,14875.33189,-1,81,47.0273122,28.82633975941325
80,H,Palau,0.767,66.0204,15.78432,12.49143,13818.67869,5,80,42.5717989,2.9600905
83,H,Cuba,0.764,73.6829,14.44305992,12.49773438,7878.847482,37,73,23.0131338,-80.8328748
84,H,Peru,0.762,72.3769,15.38773354,9.885518863,12245.89366,13,85,-6.8699697,-75.0458515
85,H,Armenia,0.759,72.0431,13.11676025,11.33030033,13157.9939,4,87,4.491976149999999,-75.74135085294314
86,H,Mexico,0.758,70.2127,14.86443996,9.221050262,17896.29498,-16,88,19.4326296,-99.1331785
87,H,Brazil,0.754,72.7504,15.59906006,8.128813955,14369.88848,-5,86,-10.3333333,-53.2
